row_id,system,task,model,vendor,harness,model_group,outcome
20240402_sweagent_gpt4/sympy__sympy-14248,20240402_sweagent_gpt4,sympy__sympy-14248,GPT-4 (1106),OpenAI,SWE-agent,GPT-4 (1106),0
20240402_sweagent_gpt4/sympy__sympy-24661,20240402_sweagent_gpt4,sympy__sympy-24661,GPT-4 (1106),OpenAI,SWE-agent,GPT-4 (1106),0
20240612_MASAI_gpt4o/astropy__astropy-14096,20240612_MASAI_gpt4o,astropy__astropy-14096,GPT-4o,OpenAI,MASAI,GPT-4o,0
20240612_MASAI_gpt4o/django__django-11099,20240612_MASAI_gpt4o,django__django-11099,GPT-4o,OpenAI,MASAI,GPT-4o,1
20240612_MASAI_gpt4o/django__django-11532,20240612_MASAI_gpt4o,django__django-11532,GPT-4o,OpenAI,MASAI,GPT-4o,0
20240612_MASAI_gpt4o/django__django-13810,20240612_MASAI_gpt4o,django__django-13810,GPT-4o,OpenAI,MASAI,GPT-4o,1
20240612_MASAI_gpt4o/django__django-13933,20240612_MASAI_gpt4o,django__django-13933,GPT-4o,OpenAI,MASAI,GPT-4o,1
20240612_MASAI_gpt4o/django__django-14034,20240612_MASAI_gpt4o,django__django-14034,GPT-4o,OpenAI,MASAI,GPT-4o,0
20240612_MASAI_gpt4o/django__django-14238,20240612_MASAI_gpt4o,django__django-14238,GPT-4o,OpenAI,MASAI,GPT-4o,0
20240612_MASAI_gpt4o/django__django-15525,20240612_MASAI_gpt4o,django__django-15525,GPT-4o,OpenAI,MASAI,GPT-4o,0
20240612_MASAI_gpt4o/django__django-15554,20240612_MASAI_gpt4o,django__django-15554,GPT-4o,OpenAI,MASAI,GPT-4o,0
20240612_MASAI_gpt4o/django__django-15695,20240612_MASAI_gpt4o,django__django-15695,GPT-4o,OpenAI,MASAI,GPT-4o,0
20240612_MASAI_gpt4o/django__django-16145,20240612_MASAI_gpt4o,django__django-16145,GPT-4o,OpenAI,MASAI,GPT-4o,1
20240612_MASAI_gpt4o/matplotlib__matplotlib-23299,20240612_MASAI_gpt4o,matplotlib__matplotlib-23299,GPT-4o,OpenAI,MASAI,GPT-4o,0
20240612_MASAI_gpt4o/pydata__xarray-3305,20240612_MASAI_gpt4o,pydata__xarray-3305,GPT-4o,OpenAI,MASAI,GPT-4o,0
20240612_MASAI_gpt4o/pylint-dev__pylint-6528,20240612_MASAI_gpt4o,pylint-dev__pylint-6528,GPT-4o,OpenAI,MASAI,GPT-4o,0
20240612_MASAI_gpt4o/sphinx-doc__sphinx-10466,20240612_MASAI_gpt4o,sphinx-doc__sphinx-10466,GPT-4o,OpenAI,MASAI,GPT-4o,1
20240612_MASAI_gpt4o/sphinx-doc__sphinx-9367,20240612_MASAI_gpt4o,sphinx-doc__sphinx-9367,GPT-4o,OpenAI,MASAI,GPT-4o,1
20240612_MASAI_gpt4o/sphinx-doc__sphinx-9673,20240612_MASAI_gpt4o,sphinx-doc__sphinx-9673,GPT-4o,OpenAI,MASAI,GPT-4o,0
20240612_MASAI_gpt4o/sympy__sympy-13647,20240612_MASAI_gpt4o,sympy__sympy-13647,GPT-4o,OpenAI,MASAI,GPT-4o,1
20240612_MASAI_gpt4o/sympy__sympy-14248,20240612_MASAI_gpt4o,sympy__sympy-14248,GPT-4o,OpenAI,MASAI,GPT-4o,0
20240612_MASAI_gpt4o/sympy__sympy-24661,20240612_MASAI_gpt4o,sympy__sympy-24661,GPT-4o,OpenAI,MASAI,GPT-4o,1
20240620_sweagent_claude3.5sonnet/astropy__astropy-14096,20240620_sweagent_claude3.5sonnet,astropy__astropy-14096,Claude 3.5 Sonnet,Anthropic,SWE-agent,Claude 3.5 Sonnet,0
20240620_sweagent_claude3.5sonnet/django__django-11099,20240620_sweagent_claude3.5sonnet,django__django-11099,Claude 3.5 Sonnet,Anthropic,SWE-agent,Claude 3.5 Sonnet,1
20240620_sweagent_claude3.5sonnet/django__django-11532,20240620_sweagent_claude3.5sonnet,django__django-11532,Claude 3.5 Sonnet,Anthropic,SWE-agent,Claude 3.5 Sonnet,0
20240620_sweagent_claude3.5sonnet/django__django-13810,20240620_sweagent_claude3.5sonnet,django__django-13810,Claude 3.5 Sonnet,Anthropic,SWE-agent,Claude 3.5 Sonnet,1
20240620_sweagent_claude3.5sonnet/django__django-13933,20240620_sweagent_claude3.5sonnet,django__django-13933,Claude 3.5 Sonnet,Anthropic,SWE-agent,Claude 3.5 Sonnet,1
20240620_sweagent_claude3.5sonnet/django__django-14034,20240620_sweagent_claude3.5sonnet,django__django-14034,Claude 3.5 Sonnet,Anthropic,SWE-agent,Claude 3.5 Sonnet,0
20240620_sweagent_claude3.5sonnet/django__django-14238,20240620_sweagent_claude3.5sonnet,django__django-14238,Claude 3.5 Sonnet,Anthropic,SWE-agent,Claude 3.5 Sonnet,1
20240620_sweagent_claude3.5sonnet/django__django-15525,20240620_sweagent_claude3.5sonnet,django__django-15525,Claude 3.5 Sonnet,Anthropic,SWE-agent,Claude 3.5 Sonnet,0
20240620_sweagent_claude3.5sonnet/django__django-15554,20240620_sweagent_claude3.5sonnet,django__django-15554,Claude 3.5 Sonnet,Anthropic,SWE-agent,Claude 3.5 Sonnet,0
20240620_sweagent_claude3.5sonnet/django__django-15695,20240620_sweagent_claude3.5sonnet,django__django-15695,Claude 3.5 Sonnet,Anthropic,SWE-agent,Claude 3.5 Sonnet,0
20240620_sweagent_claude3.5sonnet/django__django-16145,20240620_sweagent_claude3.5sonnet,django__django-16145,Claude 3.5 Sonnet,Anthropic,SWE-agent,Claude 3.5 Sonnet,1
20240620_sweagent_claude3.5sonnet/matplotlib__matplotlib-23299,20240620_sweagent_claude3.5sonnet,matplotlib__matplotlib-23299,Claude 3.5 Sonnet,Anthropic,SWE-agent,Claude 3.5 Sonnet,0
20240620_sweagent_claude3.5sonnet/pydata__xarray-3305,20240620_sweagent_claude3.5sonnet,pydata__xarray-3305,Claude 3.5 Sonnet,Anthropic,SWE-agent,Claude 3.5 Sonnet,1
20240620_sweagent_claude3.5sonnet/pylint-dev__pylint-6528,20240620_sweagent_claude3.5sonnet,pylint-dev__pylint-6528,Claude 3.5 Sonnet,Anthropic,SWE-agent,Claude 3.5 Sonnet,1
20240620_sweagent_claude3.5sonnet/sphinx-doc__sphinx-10466,20240620_sweagent_claude3.5sonnet,sphinx-doc__sphinx-10466,Claude 3.5 Sonnet,Anthropic,SWE-agent,Claude 3.5 Sonnet,0
20240620_sweagent_claude3.5sonnet/sphinx-doc__sphinx-9367,20240620_sweagent_claude3.5sonnet,sphinx-doc__sphinx-9367,Claude 3.5 Sonnet,Anthropic,SWE-agent,Claude 3.5 Sonnet,0
20240620_sweagent_claude3.5sonnet/sphinx-doc__sphinx-9673,20240620_sweagent_claude3.5sonnet,sphinx-doc__sphinx-9673,Claude 3.5 Sonnet,Anthropic,SWE-agent,Claude 3.5 Sonnet,0
20240620_sweagent_claude3.5sonnet/sympy__sympy-13647,20240620_sweagent_claude3.5sonnet,sympy__sympy-13647,Claude 3.5 Sonnet,Anthropic,SWE-agent,Claude 3.5 Sonnet,1
20240620_sweagent_claude3.5sonnet/sympy__sympy-14248,20240620_sweagent_claude3.5sonnet,sympy__sympy-14248,Claude 3.5 Sonnet,Anthropic,SWE-agent,Claude 3.5 Sonnet,0
20240620_sweagent_claude3.5sonnet/sympy__sympy-24661,20240620_sweagent_claude3.5sonnet,sympy__sympy-24661,Claude 3.5 Sonnet,Anthropic,SWE-agent,Claude 3.5 Sonnet,0
20240721_amazon-q-developer-agent-20240719-dev/astropy__astropy-14096,20240721_amazon-q-developer-agent-20240719-dev,astropy__astropy-14096,,,Amazon Q Developer Agent,unknown:20240721_amazon-q-developer-agent-20240719-dev,1
20240721_amazon-q-developer-agent-20240719-dev/django__django-11099,20240721_amazon-q-developer-agent-20240719-dev,django__django-11099,,,Amazon Q Developer Agent,unknown:20240721_amazon-q-developer-agent-20240719-dev,1
20240721_amazon-q-developer-agent-20240719-dev/django__django-11532,20240721_amazon-q-developer-agent-20240719-dev,django__django-11532,,,Amazon Q Developer Agent,unknown:20240721_amazon-q-developer-agent-20240719-dev,1
20240721_amazon-q-developer-agent-20240719-dev/django__django-13810,20240721_amazon-q-developer-agent-20240719-dev,django__django-13810,,,Amazon Q Developer Agent,unknown:20240721_amazon-q-developer-agent-20240719-dev,0
20240721_amazon-q-developer-agent-20240719-dev/django__django-13933,20240721_amazon-q-developer-agent-20240719-dev,django__django-13933,,,Amazon Q Developer Agent,unknown:20240721_amazon-q-developer-agent-20240719-dev,1
20240721_amazon-q-developer-agent-20240719-dev/django__django-14034,20240721_amazon-q-developer-agent-20240719-dev,django__django-14034,,,Amazon Q Developer Agent,unknown:20240721_amazon-q-developer-agent-20240719-dev,0
20240721_amazon-q-developer-agent-20240719-dev/django__django-14238,20240721_amazon-q-developer-agent-20240719-dev,django__django-14238,,,Amazon Q Developer Agent,unknown:20240721_amazon-q-developer-agent-20240719-dev,1
20240721_amazon-q-developer-agent-20240719-dev/django__django-15525,20240721_amazon-q-developer-agent-20240719-dev,django__django-15525,,,Amazon Q Developer Agent,unknown:20240721_amazon-q-developer-agent-20240719-dev,0
20240721_amazon-q-developer-agent-20240719-dev/django__django-15554,20240721_amazon-q-developer-agent-20240719-dev,django__django-15554,,,Amazon Q Developer Agent,unknown:20240721_amazon-q-developer-agent-20240719-dev,0
20240721_amazon-q-developer-agent-20240719-dev/django__django-15695,20240721_amazon-q-developer-agent-20240719-dev,django__django-15695,,,Amazon Q Developer Agent,unknown:20240721_amazon-q-developer-agent-20240719-dev,0
20240721_amazon-q-developer-agent-20240719-dev/django__django-16145,20240721_amazon-q-developer-agent-20240719-dev,django__django-16145,,,Amazon Q Developer Agent,unknown:20240721_amazon-q-developer-agent-20240719-dev,1
20240721_amazon-q-developer-agent-20240719-dev/matplotlib__matplotlib-23299,20240721_amazon-q-developer-agent-20240719-dev,matplotlib__matplotlib-23299,,,Amazon Q Developer Agent,unknown:20240721_amazon-q-developer-agent-20240719-dev,1
20240721_amazon-q-developer-agent-20240719-dev/pydata__xarray-3305,20240721_amazon-q-developer-agent-20240719-dev,pydata__xarray-3305,,,Amazon Q Developer Agent,unknown:20240721_amazon-q-developer-agent-20240719-dev,0
20240721_amazon-q-developer-agent-20240719-dev/pylint-dev__pylint-6528,20240721_amazon-q-developer-agent-20240719-dev,pylint-dev__pylint-6528,,,Amazon Q Developer Agent,unknown:20240721_amazon-q-developer-agent-20240719-dev,0
20240721_amazon-q-developer-agent-20240719-dev/sphinx-doc__sphinx-10466,20240721_amazon-q-developer-agent-20240719-dev,sphinx-doc__sphinx-10466,,,Amazon Q Developer Agent,unknown:20240721_amazon-q-developer-agent-20240719-dev,1
20240721_amazon-q-developer-agent-20240719-dev/sphinx-doc__sphinx-9367,20240721_amazon-q-developer-agent-20240719-dev,sphinx-doc__sphinx-9367,,,Amazon Q Developer Agent,unknown:20240721_amazon-q-developer-agent-20240719-dev,1
20240721_amazon-q-developer-agent-20240719-dev/sphinx-doc__sphinx-9673,20240721_amazon-q-developer-agent-20240719-dev,sphinx-doc__sphinx-9673,,,Amazon Q Developer Agent,unknown:20240721_amazon-q-developer-agent-20240719-dev,0
20240721_amazon-q-developer-agent-20240719-dev/sympy__sympy-13647,20240721_amazon-q-developer-agent-20240719-dev,sympy__sympy-13647,,,Amazon Q Developer Agent,unknown:20240721_amazon-q-developer-agent-20240719-dev,0
20240721_amazon-q-developer-agent-20240719-dev/sympy__sympy-14248,20240721_amazon-q-developer-agent-20240719-dev,sympy__sympy-14248,,,Amazon Q Developer Agent,unknown:20240721_amazon-q-developer-agent-20240719-dev,0
20240721_amazon-q-developer-agent-20240719-dev/sympy__sympy-24661,20240721_amazon-q-developer-agent-20240719-dev,sympy__sympy-24661,,,Amazon Q Developer Agent,unknown:20240721_amazon-q-developer-agent-20240719-dev,1
20240820_epam-ai-run-gpt-4o/astropy__astropy-14096,20240820_epam-ai-run-gpt-4o,astropy__astropy-14096,GPT-4o,OpenAI,EPAM AI/Run Developer Agent,GPT-4o,0
20240820_epam-ai-run-gpt-4o/django__django-11099,20240820_epam-ai-run-gpt-4o,django__django-11099,GPT-4o,OpenAI,EPAM AI/Run Developer Agent,GPT-4o,1
20240820_epam-ai-run-gpt-4o/django__django-11532,20240820_epam-ai-run-gpt-4o,django__django-11532,GPT-4o,OpenAI,EPAM AI/Run Developer Agent,GPT-4o,0
20240820_epam-ai-run-gpt-4o/django__django-13810,20240820_epam-ai-run-gpt-4o,django__django-13810,GPT-4o,OpenAI,EPAM AI/Run Developer Agent,GPT-4o,1
20240820_epam-ai-run-gpt-4o/django__django-13933,20240820_epam-ai-run-gpt-4o,django__django-13933,GPT-4o,OpenAI,EPAM AI/Run Developer Agent,GPT-4o,0
20240820_epam-ai-run-gpt-4o/django__django-14034,20240820_epam-ai-run-gpt-4o,django__django-14034,GPT-4o,OpenAI,EPAM AI/Run Developer Agent,GPT-4o,0
20240820_epam-ai-run-gpt-4o/django__django-14238,20240820_epam-ai-run-gpt-4o,django__django-14238,GPT-4o,OpenAI,EPAM AI/Run Developer Agent,GPT-4o,1
20240820_epam-ai-run-gpt-4o/django__django-15525,20240820_epam-ai-run-gpt-4o,django__django-15525,GPT-4o,OpenAI,EPAM AI/Run Developer Agent,GPT-4o,0
20240820_epam-ai-run-gpt-4o/django__django-15554,20240820_epam-ai-run-gpt-4o,django__django-15554,GPT-4o,OpenAI,EPAM AI/Run Developer Agent,GPT-4o,0
20240820_epam-ai-run-gpt-4o/django__django-15695,20240820_epam-ai-run-gpt-4o,django__django-15695,GPT-4o,OpenAI,EPAM AI/Run Developer Agent,GPT-4o,0
20240820_epam-ai-run-gpt-4o/django__django-16145,20240820_epam-ai-run-gpt-4o,django__django-16145,GPT-4o,OpenAI,EPAM AI/Run Developer Agent,GPT-4o,0
20240820_epam-ai-run-gpt-4o/matplotlib__matplotlib-23299,20240820_epam-ai-run-gpt-4o,matplotlib__matplotlib-23299,GPT-4o,OpenAI,EPAM AI/Run Developer Agent,GPT-4o,0
20240820_epam-ai-run-gpt-4o/pydata__xarray-3305,20240820_epam-ai-run-gpt-4o,pydata__xarray-3305,GPT-4o,OpenAI,EPAM AI/Run Developer Agent,GPT-4o,0
20240820_epam-ai-run-gpt-4o/pylint-dev__pylint-6528,20240820_epam-ai-run-gpt-4o,pylint-dev__pylint-6528,GPT-4o,OpenAI,EPAM AI/Run Developer Agent,GPT-4o,0
20240820_epam-ai-run-gpt-4o/sphinx-doc__sphinx-10466,20240820_epam-ai-run-gpt-4o,sphinx-doc__sphinx-10466,GPT-4o,OpenAI,EPAM AI/Run Developer Agent,GPT-4o,0
20240820_epam-ai-run-gpt-4o/sphinx-doc__sphinx-9367,20240820_epam-ai-run-gpt-4o,sphinx-doc__sphinx-9367,GPT-4o,OpenAI,EPAM AI/Run Developer Agent,GPT-4o,0
20240820_epam-ai-run-gpt-4o/sphinx-doc__sphinx-9673,20240820_epam-ai-run-gpt-4o,sphinx-doc__sphinx-9673,GPT-4o,OpenAI,EPAM AI/Run Developer Agent,GPT-4o,0
20240820_epam-ai-run-gpt-4o/sympy__sympy-13647,20240820_epam-ai-run-gpt-4o,sympy__sympy-13647,GPT-4o,OpenAI,EPAM AI/Run Developer Agent,GPT-4o,0
20240820_epam-ai-run-gpt-4o/sympy__sympy-14248,20240820_epam-ai-run-gpt-4o,sympy__sympy-14248,GPT-4o,OpenAI,EPAM AI/Run Developer Agent,GPT-4o,0
20240820_epam-ai-run-gpt-4o/sympy__sympy-24661,20240820_epam-ai-run-gpt-4o,sympy__sympy-24661,GPT-4o,OpenAI,EPAM AI/Run Developer Agent,GPT-4o,0
20240820_honeycomb/astropy__astropy-14096,20240820_honeycomb,astropy__astropy-14096,,,Honeycomb,unknown:20240820_honeycomb,1
20240820_honeycomb/django__django-11099,20240820_honeycomb,django__django-11099,,,Honeycomb,unknown:20240820_honeycomb,1
20240820_honeycomb/django__django-11532,20240820_honeycomb,django__django-11532,,,Honeycomb,unknown:20240820_honeycomb,1
20240820_honeycomb/django__django-13810,20240820_honeycomb,django__django-13810,,,Honeycomb,unknown:20240820_honeycomb,1
20240820_honeycomb/django__django-13933,20240820_honeycomb,django__django-13933,,,Honeycomb,unknown:20240820_honeycomb,1
20240820_honeycomb/django__django-14034,20240820_honeycomb,django__django-14034,,,Honeycomb,unknown:20240820_honeycomb,0
20240820_honeycomb/django__django-14238,20240820_honeycomb,django__django-14238,,,Honeycomb,unknown:20240820_honeycomb,1
20240820_honeycomb/django__django-15525,20240820_honeycomb,django__django-15525,,,Honeycomb,unknown:20240820_honeycomb,0
20240820_honeycomb/django__django-15554,20240820_honeycomb,django__django-15554,,,Honeycomb,unknown:20240820_honeycomb,0
20240820_honeycomb/django__django-15695,20240820_honeycomb,django__django-15695,,,Honeycomb,unknown:20240820_honeycomb,0
20240820_honeycomb/django__django-16145,20240820_honeycomb,django__django-16145,,,Honeycomb,unknown:20240820_honeycomb,0
20240820_honeycomb/matplotlib__matplotlib-23299,20240820_honeycomb,matplotlib__matplotlib-23299,,,Honeycomb,unknown:20240820_honeycomb,0
20240820_honeycomb/pydata__xarray-3305,20240820_honeycomb,pydata__xarray-3305,,,Honeycomb,unknown:20240820_honeycomb,1
20240820_honeycomb/pylint-dev__pylint-6528,20240820_honeycomb,pylint-dev__pylint-6528,,,Honeycomb,unknown:20240820_honeycomb,0
20240820_honeycomb/sphinx-doc__sphinx-10466,20240820_honeycomb,sphinx-doc__sphinx-10466,,,Honeycomb,unknown:20240820_honeycomb,1
20240820_honeycomb/sphinx-doc__sphinx-9367,20240820_honeycomb,sphinx-doc__sphinx-9367,,,Honeycomb,unknown:20240820_honeycomb,1
20240820_honeycomb/sphinx-doc__sphinx-9673,20240820_honeycomb,sphinx-doc__sphinx-9673,,,Honeycomb,unknown:20240820_honeycomb,0
20240820_honeycomb/sympy__sympy-13647,20240820_honeycomb,sympy__sympy-13647,,,Honeycomb,unknown:20240820_honeycomb,1
20240820_honeycomb/sympy__sympy-14248,20240820_honeycomb,sympy__sympy-14248,,,Honeycomb,unknown:20240820_honeycomb,0
20240820_honeycomb/sympy__sympy-24661,20240820_honeycomb,sympy__sympy-24661,,,Honeycomb,unknown:20240820_honeycomb,0
20240824_gru/astropy__astropy-14096,20240824_gru,astropy__astropy-14096,,,Gru,unknown:20240824_gru,0
20240824_gru/django__django-11099,20240824_gru,django__django-11099,,,Gru,unknown:20240824_gru,1
20240824_gru/django__django-11532,20240824_gru,django__django-11532,,,Gru,unknown:20240824_gru,0
20240824_gru/django__django-13810,20240824_gru,django__django-13810,,,Gru,unknown:20240824_gru,0
20240824_gru/django__django-13933,20240824_gru,django__django-13933,,,Gru,unknown:20240824_gru,1
20240824_gru/django__django-14034,20240824_gru,django__django-14034,,,Gru,unknown:20240824_gru,0
20240824_gru/django__django-14238,20240824_gru,django__django-14238,,,Gru,unknown:20240824_gru,1
20240824_gru/django__django-15525,20240824_gru,django__django-15525,,,Gru,unknown:20240824_gru,0
20240824_gru/django__django-15554,20240824_gru,django__django-15554,,,Gru,unknown:20240824_gru,0
20240824_gru/django__django-15695,20240824_gru,django__django-15695,,,Gru,unknown:20240824_gru,0
20240824_gru/django__django-16145,20240824_gru,django__django-16145,,,Gru,unknown:20240824_gru,1
20240824_gru/matplotlib__matplotlib-23299,20240824_gru,matplotlib__matplotlib-23299,,,Gru,unknown:20240824_gru,0
20240824_gru/pydata__xarray-3305,20240824_gru,pydata__xarray-3305,,,Gru,unknown:20240824_gru,1
20240824_gru/pylint-dev__pylint-6528,20240824_gru,pylint-dev__pylint-6528,,,Gru,unknown:20240824_gru,0
20240824_gru/sphinx-doc__sphinx-10466,20240824_gru,sphinx-doc__sphinx-10466,,,Gru,unknown:20240824_gru,1
20240824_gru/sphinx-doc__sphinx-9367,20240824_gru,sphinx-doc__sphinx-9367,,,Gru,unknown:20240824_gru,1
20240824_gru/sphinx-doc__sphinx-9673,20240824_gru,sphinx-doc__sphinx-9673,,,Gru,unknown:20240824_gru,0
20240824_gru/sympy__sympy-13647,20240824_gru,sympy__sympy-13647,,,Gru,unknown:20240824_gru,1
20240824_gru/sympy__sympy-14248,20240824_gru,sympy__sympy-14248,,,Gru,unknown:20240824_gru,0
20240824_gru/sympy__sympy-24661,20240824_gru,sympy__sympy-24661,,,Gru,unknown:20240824_gru,0
20240918_lingma-agent_lingma-swe-gpt-72b/astropy__astropy-14096,20240918_lingma-agent_lingma-swe-gpt-72b,astropy__astropy-14096,Lingma SWE-GPT 72b (v0918),OpenAI,Lingma Agent,Lingma SWE-GPT 72b (v0918),0
20240918_lingma-agent_lingma-swe-gpt-72b/django__django-11099,20240918_lingma-agent_lingma-swe-gpt-72b,django__django-11099,Lingma SWE-GPT 72b (v0918),OpenAI,Lingma Agent,Lingma SWE-GPT 72b (v0918),1
20240918_lingma-agent_lingma-swe-gpt-72b/django__django-11532,20240918_lingma-agent_lingma-swe-gpt-72b,django__django-11532,Lingma SWE-GPT 72b (v0918),OpenAI,Lingma Agent,Lingma SWE-GPT 72b (v0918),0
20240918_lingma-agent_lingma-swe-gpt-72b/django__django-13810,20240918_lingma-agent_lingma-swe-gpt-72b,django__django-13810,Lingma SWE-GPT 72b (v0918),OpenAI,Lingma Agent,Lingma SWE-GPT 72b (v0918),0
20240918_lingma-agent_lingma-swe-gpt-72b/django__django-13933,20240918_lingma-agent_lingma-swe-gpt-72b,django__django-13933,Lingma SWE-GPT 72b (v0918),OpenAI,Lingma Agent,Lingma SWE-GPT 72b (v0918),1
20240918_lingma-agent_lingma-swe-gpt-72b/django__django-14034,20240918_lingma-agent_lingma-swe-gpt-72b,django__django-14034,Lingma SWE-GPT 72b (v0918),OpenAI,Lingma Agent,Lingma SWE-GPT 72b (v0918),0
20240918_lingma-agent_lingma-swe-gpt-72b/django__django-14238,20240918_lingma-agent_lingma-swe-gpt-72b,django__django-14238,Lingma SWE-GPT 72b (v0918),OpenAI,Lingma Agent,Lingma SWE-GPT 72b (v0918),0
20240918_lingma-agent_lingma-swe-gpt-72b/django__django-15525,20240918_lingma-agent_lingma-swe-gpt-72b,django__django-15525,Lingma SWE-GPT 72b (v0918),OpenAI,Lingma Agent,Lingma SWE-GPT 72b (v0918),0
20240918_lingma-agent_lingma-swe-gpt-72b/django__django-15554,20240918_lingma-agent_lingma-swe-gpt-72b,django__django-15554,Lingma SWE-GPT 72b (v0918),OpenAI,Lingma Agent,Lingma SWE-GPT 72b (v0918),0
20240918_lingma-agent_lingma-swe-gpt-72b/django__django-15695,20240918_lingma-agent_lingma-swe-gpt-72b,django__django-15695,Lingma SWE-GPT 72b (v0918),OpenAI,Lingma Agent,Lingma SWE-GPT 72b (v0918),0
20240918_lingma-agent_lingma-swe-gpt-72b/django__django-16145,20240918_lingma-agent_lingma-swe-gpt-72b,django__django-16145,Lingma SWE-GPT 72b (v0918),OpenAI,Lingma Agent,Lingma SWE-GPT 72b (v0918),0
20240918_lingma-agent_lingma-swe-gpt-72b/matplotlib__matplotlib-23299,20240918_lingma-agent_lingma-swe-gpt-72b,matplotlib__matplotlib-23299,Lingma SWE-GPT 72b (v0918),OpenAI,Lingma Agent,Lingma SWE-GPT 72b (v0918),0
20240918_lingma-agent_lingma-swe-gpt-72b/pydata__xarray-3305,20240918_lingma-agent_lingma-swe-gpt-72b,pydata__xarray-3305,Lingma SWE-GPT 72b (v0918),OpenAI,Lingma Agent,Lingma SWE-GPT 72b (v0918),1
20240918_lingma-agent_lingma-swe-gpt-72b/pylint-dev__pylint-6528,20240918_lingma-agent_lingma-swe-gpt-72b,pylint-dev__pylint-6528,Lingma SWE-GPT 72b (v0918),OpenAI,Lingma Agent,Lingma SWE-GPT 72b (v0918),0
20240918_lingma-agent_lingma-swe-gpt-72b/sphinx-doc__sphinx-10466,20240918_lingma-agent_lingma-swe-gpt-72b,sphinx-doc__sphinx-10466,Lingma SWE-GPT 72b (v0918),OpenAI,Lingma Agent,Lingma SWE-GPT 72b (v0918),1
20240918_lingma-agent_lingma-swe-gpt-72b/sphinx-doc__sphinx-9367,20240918_lingma-agent_lingma-swe-gpt-72b,sphinx-doc__sphinx-9367,Lingma SWE-GPT 72b (v0918),OpenAI,Lingma Agent,Lingma SWE-GPT 72b (v0918),0
20240918_lingma-agent_lingma-swe-gpt-72b/sphinx-doc__sphinx-9673,20240918_lingma-agent_lingma-swe-gpt-72b,sphinx-doc__sphinx-9673,Lingma SWE-GPT 72b (v0918),OpenAI,Lingma Agent,Lingma SWE-GPT 72b (v0918),0
